dir,file,model,seed,train_batch_size,n_users,hr10,coverage,ild_first_level,ild_second_level,ild_kuairand_tag,nocat_first_level,nocat_second_level,nocat_kuairand_tag
modal,CAFREC_kuairand_pure_ctx_div_b512_seed1024_20260916-104147.json,CAFREC,1024,,22912,0.08,0.19653259361997227,0.8258020877838135,0.9106668829917908,0.800034761428833,3.055167597765363e-05,0.20663844273743018,0.0031730097765363128
modal,CAFREC_kuairand_pure_ctx_div_b512_seed1024_20260916-134307.json,CAFREC,1024,512.0,22912,0.0838,0.20263522884882107,0.8386027812957764,0.9153369069099426,0.8194515109062195,0.00016148743016759776,0.19928421787709497,0.002924231843575419
modal,CAFREC_kuairand_pure_ctx_div_b512_seed123_20260916-103923.json,CAFREC,123,,22912,0.0829,0.24382801664355064,0.8116222620010376,0.8940361738204956,0.7872493267059326,7.856145251396648e-05,0.19718924581005587,0.0024135824022346367
modal,CAFREC_kuairand_pure_ctx_div_b512_seed123_20260916-134242.json,CAFREC,123,512.0,22912,0.0822,0.23425797503467408,0.8128830790519714,0.8934784531593323,0.7927461862564087,0.0004320879888268156,0.18488128491620112,0.0021997206703910613
modal,CAFREC_kuairand_pure_ctx_div_b512_seed2048_20260916-104152.json,CAFREC,2048,,22912,0.0807,0.20235783633841886,0.8262531161308289,0.9044371843338013,0.7988427877426147,2.6187150837988826e-05,0.18351955307262569,0.004155027932960894
modal,CAFREC_kuairand_pure_ctx_div_b512_seed2048_20260916-134349.json,CAFREC,2048,512.0,22912,0.0849,0.22274618585298198,0.830716609954834,0.9083052277565002,0.8012096881866455,0.0002094972067039106,0.1890625,0.003055167597765363
modal,CAFREC_kuairand_pure_ctx_div_b512_seed256_20260916-103953.json,CAFREC,256,,22912,0.0803,0.2521497919556172,0.8140896558761597,0.8946471810340881,0.7852290272712708,0.0002967877094972067,0.19255412011173184,0.00746770251396648
modal,CAFREC_kuairand_pure_ctx_div_b512_seed256_20260916-134240.json,CAFREC,256,512.0,22912,0.0831,0.1869625520110957,0.8437131643295288,0.9141740202903748,0.8247886300086975,4.364525139664804e-06,0.18542248603351955,0.004870810055865922
modal,CAFREC_kuairand_pure_ctx_div_b512_seed42_20260916-103914.json,CAFREC,42,,22912,0.082,0.2450762829403606,0.8074623942375183,0.889343798160553,0.7809877991676331,3.491620111731843e-05,0.16639752094972068,0.006184532122905028
modal,CAFREC_kuairand_pure_ctx_div_b512_seed42_20260916-134225.json,CAFREC,42,512.0,22912,0.0823,0.23231622746185854,0.8157210350036621,0.8950933814048767,0.7932107448577881,2.6187150837988826e-05,0.16846194134078213,0.005564769553072626
modal,CAFREC_kuairand_pure_ctx_div_b512_seed512_20260916-104140.json,CAFREC,512,,22912,0.0812,0.2188626907073509,0.8182806372642517,0.8994742631912231,0.7916196584701538,0.0002967877094972067,0.20308571927374303,0.004207402234636871
modal,CAFREC_kuairand_pure_ctx_div_b512_seed512_20260916-134308.json,CAFREC,512,512.0,22912,0.0823,0.23120665742024965,0.8289416432380676,0.9059464335441589,0.8025221228599548,8.729050279329608e-06,0.19664804469273742,0.004521648044692737
modal,CAFREC_kuairand_pure_ctx_div_b512_seed77_20260916-103919.json,CAFREC,77,,22912,0.0805,0.2289875173370319,0.8136521577835083,0.8953987956047058,0.7820858955383301,0.00015275837988826816,0.18337552374301677,0.0032297486033519554
modal,CAFREC_kuairand_pure_ctx_div_b512_seed77_20260916-134225.json,CAFREC,77,512.0,22912,0.0825,0.22343966712898752,0.8227663636207581,0.9030105471611023,0.7880120873451233,0.00014402932960893856,0.18445792597765362,0.002527060055865922
modal,CAFREC_kuairand_pure_ctx_gpu_noprof_seed42_20260916-054123.json,CAFREC,42,,22912,0.082,0.2450762829403606,0.8074623942375183,0.889343798160553,0.7809877991676331,3.491620111731843e-05,0.16639752094972068,0.006184532122905028
modal,CAFREC_kuairand_pure_ctx_gpu_shuffled_ctx_seed1024_20260916-135241.json,CAFREC,1024,512.0,22912,0.0787,0.19320388349514564,0.8239902853965759,0.9064517021179199,0.7931830286979675,5.673882681564246e-05,0.21126483938547486,0.0031424581005586594
modal,CAFREC_kuairand_pure_ctx_gpu_shuffled_ctx_seed123_20260916-054127.json,CAFREC,123,,22912,0.0819,0.23592233009708738,0.8079289197921753,0.8909131288528442,0.7794661521911621,0.0005717527932960894,0.19749039804469273,0.0031424581005586594
modal,CAFREC_kuairand_pure_ctx_gpu_shuffled_ctx_seed2048_20260916-135307.json,CAFREC,2048,512.0,22912,0.0784,0.24895977808599168,0.8159411549568176,0.8986382484436035,0.7817850708961487,0.0003971717877094972,0.19369326117318436,0.004543470670391061
modal,CAFREC_kuairand_pure_ctx_gpu_shuffled_ctx_seed256_20260916-135209.json,CAFREC,256,512.0,22912,0.0809,0.20013869625520112,0.830704927444458,0.9060133695602417,0.8078010678291321,0.00012657122905027933,0.1886653282122905,0.004901361731843575
modal,CAFREC_kuairand_pure_ctx_gpu_shuffled_ctx_seed42_20260916-054129.json,CAFREC,42,,22912,0.0824,0.24382801664355064,0.8121129870414734,0.8977799415588379,0.7837038636207581,8.292597765363128e-05,0.1733502094972067,0.0052854399441340785
modal,CAFREC_kuairand_pure_ctx_gpu_shuffled_ctx_seed512_20260916-135220.json,CAFREC,512,512.0,22912,0.0789,0.24909847434119278,0.8216596841812134,0.9030523300170898,0.7864600419998169,8.729050279329608e-06,0.20473114525139666,0.0038669692737430166
modal,CAFREC_kuairand_pure_ctx_gpu_shuffled_ctx_seed77_20260916-054127.json,CAFREC,77,,22912,0.0801,0.22468793342579751,0.8167762756347656,0.9016236066818237,0.7909365892410278,4.364525139664804e-06,0.2053421787709497,0.003840782122905028
modal,CAFREC_kuairand_pure_ctx_gpu_vector_gate_seed123_20260916-054128.json,CAFREC,123,,22912,0.0796,0.22857142857142856,0.8118316531181335,0.8966460824012756,0.7874250411987305,0.00026623603351955306,0.2035221717877095,0.0023961243016759775
modal,CAFREC_kuairand_pure_ctx_gpu_vector_gate_seed42_20260916-054120.json,CAFREC,42,,22912,0.0819,0.23120665742024965,0.8100568056106567,0.8928654789924622,0.7785826921463013,3.055167597765363e-05,0.1700375349162011,0.005154504189944134
modal,CAFREC_kuairand_pure_ctx_gpu_vector_gate_seed77_20260916-054120.json,CAFREC,77,,22912,0.0772,0.2085991678224688,0.8283277153968811,0.9055740237236023,0.7948673367500305,0.00018331005586592178,0.19547835195530727,0.0029809706703910616
modal,CAFREC_kuairand_pure_ctx_hash_s2020_seed2020_20260916-192813.json,CAFREC,2020,512.0,22912,0.0803,0.22649098474341192,0.8197005391120911,0.8981911540031433,0.7893361449241638,3.055167597765363e-05,0.20296351256983242,0.0037403980446927376
modal,CAFREC_kuairand_pure_ctx_hash_s2021_seed2021_20260916-192806.json,CAFREC,2021,512.0,22912,0.0788,0.2423023578363384,0.8104874491691589,0.8890440464019775,0.7906898856163025,8.729050279329608e-06,0.17975733240223463,0.0025314245810055865
modal,CAFREC_kuairand_pure_ctx_hash_s403092_seed403092_20260916-192805.json,CAFREC,403092,512.0,22912,0.0795,0.22052704576976423,0.8158054351806641,0.8975180387496948,0.7917625308036804,4.8009776536312846e-05,0.19653456703910616,0.00456092877094972
modal,CAFREC_kuairand_pure_ctx_hglogfull_s2020_seed2020_20260826-151513.json,CAFREC,2020,,22912,0.0806,0.19930651872399446,0.8242270350456238,0.900263786315918,0.7969890832901001,4.8009776536312846e-05,0.19474074720670392,0.004220495810055866
modal,CAFREC_kuairand_pure_ctx_hglogfull_s2021_seed2021_20260826-151527.json,CAFREC,2021,,22912,0.0845,0.1954230235783634,0.8257196545600891,0.8988118767738342,0.7979336380958557,0.0,0.17973114525139663,0.001872381284916201
modal,CAFREC_kuairand_pure_ctx_hglogfull_s403092_seed403092_20260826-151558.json,CAFREC,403092,,22912,0.0835,0.2087378640776699,0.8262677192687988,0.905735969543457,0.8090097308158875,4.364525139664804e-06,0.17633554469273743,0.004347067039106145
modal,CAFREC_kuairand_pure_ctx_hgsuppress_s2020_seed2020_20260826-151448.json,CAFREC,2020,,22912,0.0788,0.2307905686546463,0.8155357241630554,0.8947644829750061,0.7884826064109802,2.6187150837988826e-05,0.19774790502793296,0.00513268156424581
modal,CAFREC_kuairand_pure_ctx_hgsuppress_s2021_seed2021_20260826-151537.json,CAFREC,2021,,22912,0.0832,0.21567267683772537,0.8252328038215637,0.8995596766471863,0.7979967594146729,4.364525139664804e-06,0.19117493016759776,0.002609986033519553
modal,CAFREC_kuairand_pure_ctx_hgsuppress_s403092_seed403092_20260826-151448.json,CAFREC,403092,,22912,0.0795,0.2216366158113731,0.8150779604911804,0.8963415622711182,0.7927194833755493,4.364525139664804e-06,0.18372468575418993,0.004032821229050279
modal,CAFREC_kuairand_pure_ctx_histgate_s2020_seed2020_20260826-145331.json,CAFREC,2020,,22912,0.0796,0.21220527045769763,0.8192155957221985,0.8985306024551392,0.7916814088821411,8.729050279329609e-05,0.20313372905027932,0.004421263966480447
modal,CAFREC_kuairand_pure_ctx_histgate_s2021_seed2021_20260826-145320.json,CAFREC,2021,,22912,0.0794,0.24133148404993066,0.8021793365478516,0.882387638092041,0.7884531021118164,4.364525139664804e-06,0.17826466480446929,0.0019334846368715083
modal,CAFREC_kuairand_pure_ctx_histgate_s403092_seed403092_20260826-145323.json,CAFREC,403092,,22912,0.0824,0.21816920943134535,0.8158287405967712,0.8970195651054382,0.7986254096031189,1.3093575418994413e-05,0.18342353351955307,0.004290328212290502
modal,CAFREC_kuairand_pure_ctx_noprof_seq10_s2020_seed2020_20260825-151723.json,CAFREC,2020,,22912,0.0803,0.23897364771151178,0.8170284628868103,0.8929963111877441,0.7863878607749939,0.0001003840782122905,0.18640450418994414,0.0038669692737430166
modal,CAFREC_kuairand_pure_ctx_noprof_seq10_s2021_seed2021_20260825-151719.json,CAFREC,2021,,22912,0.0784,0.23411927877947294,0.8240339159965515,0.8990020155906677,0.8048991560935974,3.928072625698324e-05,0.19694483240223465,0.0011435055865921789
modal,CAFREC_kuairand_pure_ctx_noprof_seq10_s403092_seed403092_20260825-151805.json,CAFREC,403092,,22912,0.0804,0.2174757281553398,0.8157966732978821,0.8987545967102051,0.7944145202636719,1.7458100558659216e-05,0.20100820530726257,0.0038713337988826816
modal,CAFREC_kuairand_pure_ctx_noprof_seq50_s2020_seed2020_20260825-152139.json,CAFREC,2020,,22912,0.0818,0.23134535367545075,0.802897036075592,0.8868783116340637,0.7722699642181396,5.673882681564246e-05,0.20042335893854749,0.00446054469273743
modal,CAFREC_kuairand_pure_ctx_noprof_seq50_s2021_seed2021_20260825-152545.json,CAFREC,2021,,22912,0.0817,0.2421636615811373,0.8017486929893494,0.8790647983551025,0.7887337803840637,4.3645251396648046e-05,0.17188809357541898,0.003125
modal,CAFREC_kuairand_pure_ctx_noprof_seq50_s403092_seed403092_20260825-152210.json,CAFREC,403092,,22912,0.0823,0.23356449375866853,0.804229736328125,0.8886405825614929,0.7842409610748291,1.3093575418994413e-05,0.17919430865921787,0.005071578212290503
modal,CAFREC_kuairand_pure_ctx_noprof_topk_s2020_seed2020_20260815-161058.json,CAFREC,2020,,22912,0.0813,0.2274618585298197,0.8126882314682007,0.8927597999572754,0.7810771465301514,8.729050279329609e-05,0.19631197625698324,0.004779155027932961
